Sport,Medal_Counts,Unique_Athletes,Medal_Efficiency
Athletics,36,402,0.08955223858320338
Swimming,120,238,0.5042016785537745
Basketball,23,167,0.1377245500735057
Shooting,81,159,0.5094339590601638
Rowing,44,151,0.2913907265470813
Football,15,132,0.1136363627754821
Fencing,31,120,0.25833333118055557
Volleyball,66,108,0.611111105452675
Badminton,83,103,0.8058252348949007
Hockey,33,90,0.3666666625925927
Wrestling,19,89,0.21348314366872873
Weightlifting,70,87,0.804597691901176
Gymnastics,109,85,1.2823529260899655
Water Polo,0,77,0.0
Judo,23,76,0.302631574965374
Sailing,8,73,0.1095890395946707
Diving,119,68,1.7499999742647063
Cycling,9,67,0.1343283562040544
Canoeing,4,66,0.06060605968778698
Handball,13,64,0.20312499682617194
Boxing,19,55,0.34545453917355384
Archery,22,54,0.4074073998628259
Table Tennis,104,46,2.260869516068054
Synchronized Swimming,31,41,0.7560975425342064
Softball,15,40,0.3749999906250003
Rhythmic Gymnastics,11,40,0.2749999931250002
Tennis,7,33,0.21212120569329682
Baseball,0,24,0.0
Taekwondo,13,23,0.5652173667296797
Rugby Sevens,0,20,0.0
Canoe Sprint,9,20,0.4499999775000011
Beach Volleyball,4,18,0.2222222098765439
Artistic Gymnastics,24,18,1.3333332592592633
Modern Pentathlon,1,16,0.06249999609375024
Artistic Swimming,21,14,1.4999998928571505
3x3 Basketball,4,13,0.3076922840236705
Golf,2,11,0.1818181652892577
Cycling Track,3,11,0.2727272479338866
Triathlon,0,10,0.0
Sport Climbing,2,8,0.24999996875000394
Equestrian,0,8,0.0
Trampoline Gymnastics,5,7,0.7142856122449125
Trampolining,11,7,1.5714283469388075
Equestrianism,0,6,0.0
Skateboarding,0,5,0.0
Canoe Slalom,0,5,0.0
Art Competitions,0,5,0.0
Cycling Mountain Bike,0,4,0.0
Cycling Road,0,4,0.0
Breaking,1,3,0.33333322222225925
Karate,2,2,0.99999950000025
Cycling BMX Freestyle,1,2,0.499999750000125
Marathon Swimming,0,1,0.0
Surfing,0,1,0.0
