Sport,Medal_Counts,Unique_Athletes,Medal_Efficiency
Athletics,1190,2048,0.581054687216282
Swimming,1206,765,1.5764705861745483
Rowing,388,710,0.546478872469748
Wrestling,144,339,0.4247787598089122
Gymnastics,194,314,0.6178343929368332
Shooting,207,307,0.674267098780889
Basketball,389,300,1.2966666623444445
Football,144,292,0.49315068324263467
Fencing,81,289,0.28027681563918055
Cycling,78,271,0.28782287716670524
Art Competitions,9,265,0.03396226402278391
Boxing,118,260,0.4538461521005917
Sailing,142,252,0.563492061255984
Water Polo,176,242,0.7272727242674681
Volleyball,158,195,0.8102564061012492
Canoeing,21,176,0.11931818114023761
Diving,147,171,0.8596491177798298
Hockey,30,162,0.18518518404206677
Equestrianism,132,143,0.9230769166218398
Weightlifting,46,120,0.38333333013888893
Tennis,66,119,0.554621844078808
Handball,0,106,0.0
Golf,41,98,0.418367342669721
Baseball,68,88,0.7727272639462811
Judo,14,76,0.1842105238919668
Archery,60,71,0.8450704106328112
Rugby Sevens,12,58,0.20689654815695607
Modern Pentathlon,17,56,0.30357142315051033
Beach Volleyball,22,48,0.45833332378472247
Synchronized Swimming,30,42,0.714285697278912
Baseball/Softball,39,39,0.999999974358975
Softball,60,36,1.6666666203703717
Tug-Of-War,14,35,0.39999998857142893
Table Tennis,0,34,0.0
Triathlon,8,30,0.26666665777777804
Rugby,36,30,1.1999999600000013
Badminton,0,28,0.0
Rhythmic Gymnastics,0,26,0.0
Skateboarding,5,20,0.2499999875000006
Taekwondo,11,18,0.6111110771604957
Equestrian,11,18,0.6111110771604957
Artistic Gymnastics,26,16,1.6249998984375063
Polo,12,12,0.9999999166666736
3x3 Basketball,8,12,0.6666666111111158
Lacrosse,12,12,0.9999999166666736
Cycling Track,11,12,0.9166665902777842
Ice Hockey,11,11,0.9999999090909174
Artistic Swimming,9,10,0.8999999100000091
Sport Climbing,3,10,0.299999970000003
Cycling BMX Racing,0,9,0.0
Cycling Road,0,9,0.0
Trampolining,0,7,0.0
Surfing,2,6,0.33333327777778704
Cycling Mountain Bike,1,6,0.16666663888889352
Cycling BMX Freestyle,2,5,0.399999920000016
Marathon Swimming,0,5,0.0
Roque,3,4,0.7499998125000469
Breaking,1,4,0.24999993750001562
Karate,1,4,0.24999993750001562
Canoe Slalom,1,4,0.24999993750001562
Canoe Sprint,2,3,0.6666664444445185
Figure Skating,1,3,0.33333322222225925
Trampoline Gymnastics,0,3,0.0
Jeu De Paume,1,2,0.499999750000125
"Cycling Road, Cycling Track",0,2,0.0
"Cycling Road, Triathlon",0,1,0.0
"Marathon Swimming, Swimming",0,1,0.0
