NOC,Past_Gold_Avg,Past_Total_Avg,Past_Gold_Sum,Past_Total_Sum,Predicted_Gold,Predicted_Total,Current_Total,Progress
Jamaica,4.666666666666667,11.0,14.0,33.0,5,14,6.0,8.0
Czech Republic,3.0,10.666666666666666,9.0,32.0,4,12,5.0,7.0
Cuba,5.666666666666667,13.666666666666666,17.0,41.0,6,16,9.0,7.0
Germany,12.666666666666666,41.0,38.0,123.0,13,39,33.0,6.0
Slovakia,1.0,4.0,3.0,12.0,2,6,1.0,5.0
Qatar,0.6666666666666666,2.0,2.0,6.0,1,5,1.0,4.0
Croatia,3.6666666666666665,8.0,11.0,24.0,4,11,7.0,4.0
Serbia,2.0,7.0,6.0,21.0,3,9,5.0,4.0
Colombia,1.3333333333333333,7.333333333333333,4.0,22.0,2,8,4.0,4.0
Mongolia,0.0,3.6666666666666665,0.0,11.0,1,5,1.0,4.0
Ethiopia,1.6666666666666667,6.666666666666667,5.0,20.0,2,8,4.0,4.0
Kazakhstan,1.6666666666666667,12.0,5.0,36.0,3,11,7.0,4.0
Kosovo,1.5,1.5,3.0,3.0,2,6,2.0,4.0
Fiji,1.0,1.5,2.0,3.0,2,5,1.0,4.0
Slovenia,1.6666666666666667,4.333333333333333,5.0,13.0,2,7,3.0,4.0
Azerbaijan,1.0,11.333333333333334,3.0,34.0,2,10,7.0,3.0
Uganda,1.0,2.0,3.0,6.0,2,5,2.0,3.0
Panama,0.5,1.5,1.0,3.0,1,4,1.0,3.0
Argentina,1.3333333333333333,3.6666666666666665,4.0,11.0,2,6,3.0,3.0
Pakistan,0.3333333333333333,1.0,1.0,3.0,1,4,1.0,3.0
Kenya,4.0,12.0,12.0,36.0,5,14,11.0,3.0
North Korea,2.6666666666666665,6.333333333333333,8.0,19.0,3,9,6.0,3.0
Poland,3.0,12.0,9.0,36.0,4,13,10.0,3.0
Ivory Coast,0.3333333333333333,1.3333333333333333,1.0,4.0,1,4,1.0,3.0
Ukraine,2.6666666666666665,16.333333333333332,8.0,49.0,4,15,12.0,3.0
Singapore,0.3333333333333333,1.3333333333333333,1.0,4.0,1,4,1.0,3.0
Denmark,2.3333333333333335,11.666666666666666,7.0,35.0,3,12,9.0,3.0
Jordan,0.5,1.5,1.0,3.0,1,4,1.0,3.0
South Africa,2.3333333333333335,6.333333333333333,7.0,19.0,3,9,6.0,3.0
Egypt,0.3333333333333333,4.333333333333333,1.0,13.0,1,5,3.0,2.0
Cabo Verde,0.0,0.0,0.0,0.0,1,3,1.0,2.0
Dominican Republic,0.3333333333333333,2.6666666666666665,1.0,8.0,1,5,3.0,2.0
Zambia,0.0,1.0,0.0,2.0,1,3,1.0,2.0
Indonesia,0.6666666666666666,3.6666666666666665,2.0,11.0,1,5,3.0,2.0
Refugee Olympic Team,0.0,0.0,0.0,0.0,1,3,1.0,2.0
Great Britain,26.0,65.33333333333333,78.0,196.0,26,67,65.0,2.0
Malaysia,0.0,3.0,0.0,9.0,1,4,2.0,2.0
Dominica,0.0,0.0,0.0,0.0,1,3,1.0,2.0
Tunisia,1.0,2.6666666666666665,3.0,8.0,2,5,3.0,2.0
Switzerland,2.6666666666666665,8.0,8.0,24.0,3,10,8.0,2.0
Morocco,0.3333333333333333,1.0,1.0,3.0,1,4,2.0,2.0
Puerto Rico,0.6666666666666666,1.3333333333333333,2.0,4.0,1,4,2.0,2.0
Peru,0.0,1.0,0.0,3.0,1,3,1.0,2.0
Grenada,0.3333333333333333,1.0,1.0,3.0,1,4,2.0,2.0
Cyprus,0.0,1.0,0.0,1.0,1,3,1.0,2.0
Chile,0.6666666666666666,1.6666666666666667,2.0,5.0,1,4,2.0,2.0
Albania,0.0,0.0,0.0,0.0,1,3,2.0,1.0
Hong Kong,0.3333333333333333,2.6666666666666665,1.0,8.0,1,5,4.0,1.0
Guatemala,0.0,1.0,0.0,1.0,1,3,2.0,1.0
Lithuania,0.6666666666666666,3.3333333333333335,2.0,10.0,1,5,4.0,1.0
Armenia,0.3333333333333333,3.3333333333333335,1.0,10.0,1,5,4.0,1.0
Botswana,0.0,1.0,0.0,2.0,1,3,2.0,1.0
Tajikistan,0.3333333333333333,1.3333333333333333,1.0,4.0,1,4,3.0,1.0
Georgia,1.6666666666666667,7.0,5.0,21.0,2,8,7.0,1.0
Saint Lucia,0.0,0.0,0.0,0.0,1,3,2.0,1.0
Turkey,1.3333333333333333,8.0,4.0,24.0,2,9,8.0,1.0
Hungary,7.333333333333333,17.666666666666668,22.0,53.0,8,20,19.0,1.0
Algeria,0.3333333333333333,1.6666666666666667,1.0,5.0,1,4,3.0,1.0
Mexico,0.3333333333333333,5.666666666666667,1.0,17.0,1,6,5.0,1.0
Iran,4.333333333333333,9.333333333333334,13.0,28.0,5,13,12.0,1.0
Portugal,0.3333333333333333,2.0,1.0,6.0,1,4,4.0,0.0
India,0.3333333333333333,5.0,1.0,15.0,1,6,6.0,0.0
Philippines,0.3333333333333333,2.0,1.0,6.0,1,4,4.0,0.0
Ecuador,1.0,1.6666666666666667,3.0,5.0,2,5,5.0,0.0
Chinese Taipei,1.3333333333333333,5.666666666666667,4.0,17.0,2,7,7.0,0.0
